"","Group.1","Group.2","no_of_units"
"1","04",0,34
"2","07",0,40
"3","09",0,16
"4","10",0,0
"5","11",0,36
"6","12",0,190
"7","13",0,16
"8","18",0,32
"9","24",0,88
"10","02",1,15
"11","03",1,124
"12","04",1,349
"13","05",1,158
"14","06",1,204
"15","08",1,185
"16","09",1,114
"17","11",1,364
"18","12",1,251
"19","13",1,396
"20","14",1,163
"21","18",1,30
"22","19",1,198
"23","20",1,26
"24","21",1,24
"25","02",2,223
"26","03",2,297
"27","04",2,718
"28","05",2,539
"29","06",2,82
"30","07",2,26
"31","08",2,653
"32","09",2,456
"33","11",2,246
"34","12",2,1507
"35","13",2,271
"36","14",2,61
"37","15",2,148
"38","16",2,91
"39","19",2,498
"40","20",2,93
"41","24",2,309
"42","01",3,209
"43","02",3,1118
"44","03",3,2211
"45","04",3,1603
"46","05",3,2265
"47","06",3,1130
"48","07",3,640
"49","08",3,1359
"50","09",3,726
"51","10",3,1674
"52","11",3,2034
"53","12",3,2806
"54","13",3,3249
"55","14",3,1398
"56","15",3,1369
"57","16",3,249
"58","17",3,180
"59","18",3,594
"60","19",3,1351
"61","20",3,1033
"62","21",3,57
"63","22",3,528
"64","24",3,560
"65","01",4,2583
"66","02",4,3252
"67","03",4,4387
"68","04",4,8430
"69","05",4,5440
"70","06",4,2666
"71","07",4,4652
"72","08",4,5652
"73","09",4,2185
"74","10",4,1367
"75","11",4,4028
"76","12",4,11014
"77","13",4,12971
"78","14",4,2933
"79","15",4,6341
"80","16",4,3985
"81","17",4,1142
"82","18",4,3455
"83","19",4,5657
"84","20",4,2301
"85","21",4,3673
"86","22",4,2830
"87","23",4,723
"88","24",4,3615
"89","25",4,113
"90","YY",4,369
"91","01",5,6169
"92","02",5,6440
"93","03",5,3859
"94","04",5,3670
"95","05",5,6974
"96","06",5,8889
"97","07",5,7435
"98","08",5,5311
"99","09",5,1983
"100","10",5,2443
"101","11",5,2434
"102","12",5,8039
"103","13",5,10803
"104","14",5,4736
"105","15",5,5000
"106","16",5,10625
"107","17",5,8523
"108","18",5,1992
"109","19",5,3824
"110","20",5,7520
"111","21",5,5590
"112","22",5,2938
"113","23",5,344
"114","24",5,6294
"115","25",5,1864
"116","01",6,612
"117","02",6,888
"118","03",6,2522
"119","04",6,1567
"120","05",6,2619
"121","06",6,2645
"122","07",6,1793
"123","08",6,1411
"124","09",6,473
"125","10",6,777
"126","11",6,1650
"127","12",6,1671
"128","13",6,3646
"129","14",6,305
"130","15",6,2810
"131","16",6,1328
"132","17",6,1314
"133","18",6,1113
"134","19",6,877
"135","20",6,2144
"136","21",6,2223
"137","22",6,1294
"138","23",6,396
"139","24",6,1439
"140","25",6,126
